Timestamp,Container,CPU Usage,Memory Usage
2023-11-29 9:27,Visualizer,0.38%,229
2023-11-29 9:27,EVAM Cam 1,13.03%,82.2
2023-11-29 9:27,EVAM Cam 2,9.65%,72.02
2023-11-29 9:37,Visualizer,103.65%,270.8
2023-11-29 9:37,EVAM Cam 1,16.85%,81.32
2023-11-29 9:37,EVAM Cam 2,11.56%,71.79
2023-11-29 9:47,Visualizer,385.99%,965
2023-11-29 9:47,EVAM Cam 1,20.04%,82.65
2023-11-29 9:47,EVAM Cam 2,14.92%,72.15
2023-11-29 9:57,Visualizer,541.58%,1.186GiB
2023-11-29 9:57,EVAM Cam 1,22.22%,82.15
2023-11-29 9:57,EVAM Cam 2,15.02%,72.28
2023-11-29 10:07,Visualizer,499.46%,1.183GiB
2023-11-29 10:07,EVAM Cam 1,20.16%,82.78
2023-11-29 10:07,EVAM Cam 2,16.06%,72.41
2023-11-29 10:17,Visualizer,500.09%,1.185GiB
2023-11-29 10:17,EVAM Cam 1,21.33%,90.81
2023-11-29 10:17,EVAM Cam 2,15.60%,72.62
2023-11-29 10:27,Visualizer,501.66%,1.184GiB
2023-11-29 10:27,EVAM Cam 1,21.00%,90.18
2023-11-29 10:27,EVAM Cam 2,16.08%,72.55
2023-11-29 10:37,Visualizer,509.69%,1.184GiB
2023-11-29 10:37,EVAM Cam 1,22.28%,83.09
2023-11-29 10:37,EVAM Cam 2,16.23%,73.03
2023-11-29 10:47,Visualizer,513.57%,1.184GiB
2023-11-29 10:47,EVAM Cam 1,21.14%,82.27
2023-11-29 10:47,EVAM Cam 2,16.03%,72.39
2023-11-29 10:58,Visualizer,509.61%,1.185GiB
2023-11-29 10:58,EVAM Cam 1,23.76%,82.38
2023-11-29 10:58,EVAM Cam 2,14.84%,72.59
2023-11-29 11:08,Visualizer,708.68%,1.997GiB
2023-11-29 11:08,EVAM Cam 1,25.72%,121.2
2023-11-29 11:08,EVAM Cam 2,16.88%,75.83
2023-11-29 11:18,Visualizer,713.46%,1.906GiB
2023-11-29 11:18,EVAM Cam 1,24.59%,568.7
2023-11-29 11:18,EVAM Cam 2,17.53%,75.66
2023-11-29 11:28,Visualizer,696.90%,1.876GiB
2023-11-29 11:28,EVAM Cam 1,24.76%,573.1
2023-11-29 11:28,EVAM Cam 2,18.18%,80
2023-11-29 11:38,Visualizer,717.04%,1.755GiB
2023-11-29 11:38,EVAM Cam 1,24.80%,466.1
2023-11-29 11:38,EVAM Cam 2,18.05%,79.73
2023-11-29 11:48,Visualizer,691.19%,1.647GiB
2023-11-29 11:48,EVAM Cam 1,24.38%,638
2023-11-29 11:48,EVAM Cam 2,17.67%,80.39
2023-11-29 11:58,Visualizer,744.87%,1.688GiB
2023-11-29 11:58,EVAM Cam 1,24.38%,467
2023-11-29 11:58,EVAM Cam 2,17.49%,80.56
2023-11-29 12:08,Visualizer,655.91%,1.452GiB
2023-11-29 12:08,EVAM Cam 1,25.67%,437.1
2023-11-29 12:08,EVAM Cam 2,17.94%,80.48
2023-11-29 12:18,Visualizer,678.13%,1.467GiB
2023-11-29 12:18,EVAM Cam 1,24.89%,419.9
2023-11-29 12:18,EVAM Cam 2,18.02%,80.51
2023-11-29 12:28,Visualizer,676.94%,1.414GiB
2023-11-29 12:28,EVAM Cam 1,25.86%,496.7
