Timestamp,Container,CPU Usage,Memory Usage
2023-11-30 16:01,Visualizer,107.31%,315.5
2023-11-30 16:01,EVAM Cam 1,20.00%,83.73
2023-11-30 16:01,EVAM Cam 2,13.98%,74.26
2023-11-30 16:11,Visualizer,104.41%,316
2023-11-30 16:11,EVAM Cam 1,17.56%,82.74
2023-11-30 16:11,EVAM Cam 2,14.20%,74.71
2023-11-30 16:21,Visualizer,103.44%,313.3
2023-11-30 16:21,EVAM Cam 1,17.46%,83.7
2023-11-30 16:21,EVAM Cam 2,12.80%,74.68
2023-11-30 16:31,Visualizer,99.35%,315.3
2023-11-30 16:31,EVAM Cam 1,17.13%,82.81
2023-11-30 16:31,EVAM Cam 2,13.40%,75.48
2023-11-30 16:41,Visualizer,106.59%,315.3
2023-11-30 16:41,EVAM Cam 1,17.51%,82.72
2023-11-30 16:41,EVAM Cam 2,12.46%,74.83
2023-11-30 16:51,Visualizer,95.53%,315.3
2023-11-30 16:51,EVAM Cam 1,19.26%,82.73
2023-11-30 16:51,EVAM Cam 2,13.36%,75.02
2023-11-30 17:01,Visualizer,101.61%,315.9
2023-11-30 17:01,EVAM Cam 1,18.49%,83.79
2023-11-30 17:01,EVAM Cam 2,12.17%,75.06
2023-11-30 17:11,Visualizer,103.47%,315.3
2023-11-30 17:11,EVAM Cam 1,19.83%,92.3
2023-11-30 17:11,EVAM Cam 2,12.85%,75.25
2023-11-30 17:21,Visualizer,100.30%,313.4
2023-11-30 17:21,EVAM Cam 1,17.54%,91.38
2023-11-30 17:21,EVAM Cam 2,13.27%,75.26
2023-11-30 17:31,Visualizer,100.96%,313.3
2023-11-30 17:31,EVAM Cam 1,17.61%,91.38
2023-11-30 17:31,EVAM Cam 2,12.12%,74.74
2023-11-30 17:42,Visualizer,99.86%,313.3
2023-11-30 17:42,EVAM Cam 1,18.10%,83.66
2023-11-30 17:42,EVAM Cam 2,11.18%,74.73
2023-11-30 17:52,Visualizer,102.03%,313.3
2023-11-30 17:52,EVAM Cam 1,18.25%,83.75
2023-11-30 17:52,EVAM Cam 2,13.11%,74.88
2023-11-30 18:02,Visualizer,101.90%,313.3
2023-11-30 18:02,EVAM Cam 1,18.00%,92.16
2023-11-30 18:02,EVAM Cam 2,11.51%,74.74
2023-11-30 18:12,Visualizer,104.15%,313.3
2023-11-30 18:12,EVAM Cam 1,18.20%,82.77
2023-11-30 18:12,EVAM Cam 2,12.57%,74.75
2023-11-30 18:22,Visualizer,102.00%,315.3
2023-11-30 18:22,EVAM Cam 1,17.80%,82.84
2023-11-30 18:22,EVAM Cam 2,11.75%,74.75
2023-11-30 18:32,Visualizer,97.02%,313.3
2023-11-30 18:32,EVAM Cam 1,17.84%,83.79
2023-11-30 18:32,EVAM Cam 2,11.88%,74.72
2023-11-30 18:42,Visualizer,98.09%,313.3
2023-11-30 18:42,EVAM Cam 1,20.33%,82.78
2023-11-30 18:42,EVAM Cam 2,11.60%,75.09
2023-11-30 18:52,Visualizer,94.39%,313.3
2023-11-30 18:52,EVAM Cam 1,17.61%,83.71
2023-11-30 18:52,EVAM Cam 2,11.52%,74.71
2023-11-30 19:02,Visualizer,99.34%,313.3
2023-11-30 19:02,EVAM Cam 1,17.85%,83.71
2023-11-30 19:02,EVAM Cam 2,12.13%,74.71
2023-11-30 19:12,Visualizer,99.44%,315.3
2023-11-30 19:12,EVAM Cam 1,18.57%,82.75
2023-11-30 19:12,EVAM Cam 2,11.37%,74.71
2023-11-30 19:23,Visualizer,94.82%,313.3
2023-11-30 19:23,EVAM Cam 1,16.85%,82.76
2023-11-30 19:23,EVAM Cam 2,10.89%,75.11
2023-11-30 19:33,Visualizer,100.83%,315.3
2023-11-30 19:33,EVAM Cam 1,17.66%,83.51
2023-11-30 19:33,EVAM Cam 2,11.32%,74.72
2023-11-30 19:43,Visualizer,86.55%,315.3
2023-11-30 19:43,EVAM Cam 1,17.61%,82.61
2023-11-30 19:43,EVAM Cam 2,11.16%,74.57
2023-11-30 19:53,Visualizer,88.44%,315.3
2023-11-30 19:53,EVAM Cam 1,16.77%,82.62
2023-11-30 19:53,EVAM Cam 2,10.42%,74.61
2023-11-30 20:03,Visualizer,87.17%,315.3
2023-11-30 20:03,EVAM Cam 1,17.97%,91.23
2023-11-30 20:03,EVAM Cam 2,10.94%,74.64
2023-11-30 20:13,Visualizer,88.30%,315.3
2023-11-30 20:13,EVAM Cam 1,15.53%,82.63
2023-11-30 20:13,EVAM Cam 2,9.96%,74.57
2023-11-30 20:23,Visualizer,88.58%,315.3
2023-11-30 20:23,EVAM Cam 1,18.22%,82.61
2023-11-30 20:23,EVAM Cam 2,10.00%,74.59
2023-11-30 20:33,Visualizer,88.88%,315.3
2023-11-30 20:33,EVAM Cam 1,15.24%,82.62
2023-11-30 20:33,EVAM Cam 2,10.29%,74.63
2023-11-30 20:43,Visualizer,87.98%,298.3
2023-11-30 20:43,EVAM Cam 1,16.53%,82.61
2023-11-30 20:43,EVAM Cam 2,9.61%,74.57
2023-11-30 20:53,Visualizer,91.05%,315.3
2023-11-30 20:53,EVAM Cam 1,16.33%,90.77
2023-11-30 20:53,EVAM Cam 2,10.43%,74.63
2023-11-30 21:04,Visualizer,88.42%,315.3
2023-11-30 21:04,EVAM Cam 1,15.83%,82.63
2023-11-30 21:04,EVAM Cam 2,10.09%,74.64
2023-11-30 21:14,Visualizer,90.08%,315.8
2023-11-30 21:14,EVAM Cam 1,15.89%,91.23
2023-11-30 21:14,EVAM Cam 2,10.53%,74.61
2023-11-30 21:24,Visualizer,86.13%,315.8
2023-11-30 21:24,EVAM Cam 1,15.67%,82.64
2023-11-30 21:24,EVAM Cam 2,10.89%,74.61
2023-11-30 21:34,Visualizer,74.33%,313.3
2023-11-30 21:34,EVAM Cam 1,16.14%,81.98
2023-11-30 21:34,EVAM Cam 2,10.77%,74.68
2023-11-30 21:44,Visualizer,76.60%,313.3
2023-11-30 21:44,EVAM Cam 1,14.75%,81.86
2023-11-30 21:44,EVAM Cam 2,9.54%,74.35
2023-11-30 21:54,Visualizer,76.30%,313.4
2023-11-30 21:54,EVAM Cam 1,16.60%,82
2023-11-30 21:54,EVAM Cam 2,9.28%,74.26
2023-11-30 22:04,Visualizer,76.06%,313.4
2023-11-30 22:04,EVAM Cam 1,14.11%,82.13
2023-11-30 22:04,EVAM Cam 2,9.36%,74.43
2023-11-30 22:14,Visualizer,77.41%,315.4
2023-11-30 22:14,EVAM Cam 1,14.23%,81.41
2023-11-30 22:14,EVAM Cam 2,10.00%,74.23
2023-11-30 22:24,Visualizer,77.39%,315.4
2023-11-30 22:24,EVAM Cam 1,16.93%,90.3
2023-11-30 22:24,EVAM Cam 2,9.65%,74.09
2023-11-30 22:35,Visualizer,70.92%,315.6
2023-11-30 22:35,EVAM Cam 1,14.41%,81.56
2023-11-30 22:35,EVAM Cam 2,9.34%,73.86
2023-11-30 22:45,Visualizer,75.98%,316
2023-11-30 22:45,EVAM Cam 1,13.65%,82.38
2023-11-30 22:45,EVAM Cam 2,9.95%,73.84
2023-11-30 22:55,Visualizer,74.85%,309.1
2023-11-30 22:55,EVAM Cam 1,14.10%,81.43
2023-11-30 22:55,EVAM Cam 2,9.59%,74.09
2023-11-30 23:05,Visualizer,72.48%,290.5
2023-11-30 23:05,EVAM Cam 1,15.13%,81.87
2023-11-30 23:05,EVAM Cam 2,10.33%,73.99
2023-11-30 23:15,Visualizer,73.00%,267.4
2023-11-30 23:15,EVAM Cam 1,14.16%,82.29
2023-11-30 23:15,EVAM Cam 2,8.99%,74.62
2023-11-30 23:25,Visualizer,72.92%,250.8
2023-11-30 23:25,EVAM Cam 1,16.24%,76.01
2023-11-30 23:25,EVAM Cam 2,9.27%,69.48
2023-11-30 23:35,Visualizer,71.01%,230.4
2023-11-30 23:35,EVAM Cam 1,14.57%,70.28
2023-11-30 23:35,EVAM Cam 2,9.48%,64.38
2023-11-30 23:45,Visualizer,75.60%,207.4
2023-11-30 23:45,EVAM Cam 1,15.92%,65.53
2023-11-30 23:45,EVAM Cam 2,9.17%,59.59
2023-11-30 23:55,Visualizer,77.33%,197.9
2023-11-30 23:55,EVAM Cam 1,14.24%,59.38
2023-11-30 23:55,EVAM Cam 2,11.47%,53.21
2023-12-01 0:05,Visualizer,23.09%,305.2
2023-12-01 0:05,EVAM Cam 1,14.90%,69.9
2023-12-01 0:05,EVAM Cam 2,17.50%,71.23
2023-12-01 0:16,Visualizer,20.28%,305.3
2023-12-01 0:16,EVAM Cam 1,16.53%,69.5
2023-12-01 0:16,EVAM Cam 2,13.13%,71.54
2023-12-01 0:26,Visualizer,22.46%,305.2
2023-12-01 0:26,EVAM Cam 1,20.27%,69.72
2023-12-01 0:26,EVAM Cam 2,13.16%,71.3
2023-12-01 0:36,Visualizer,21.27%,305.4
2023-12-01 0:36,EVAM Cam 1,20.59%,69.84
2023-12-01 0:36,EVAM Cam 2,14.93%,71.25
2023-12-01 0:46,Visualizer,21.28%,305.3
2023-12-01 0:46,EVAM Cam 1,16.19%,69.75
2023-12-01 0:46,EVAM Cam 2,16.08%,71.41
2023-12-01 0:56,Visualizer,23.38%,305.2
2023-12-01 0:56,EVAM Cam 1,15.11%,69.61
